date,time,mq2_adc,mq2_rs,mq2_ratio,mq2_ppm,mq135_adc,mq135_rs,mq135_ratio,mq135_ppm,mq7_adc,mq7_rs,mq7_ratio,mq7_ppm,label
2026-04-01,00:50:40,303,250297.03,21.47,0.0,1990,21155.78,1.76,0.44,159,495094.34,45.01,0.0,0
2026-04-01,00:50:42,300,253000.0,21.7,0.0,1963,21721.85,1.81,0.42,156,505000.0,45.91,0.0,0
2026-04-01,00:50:44,311,243344.05,20.87,0.0,1987,21217.92,1.77,0.44,156,505000.0,45.91,0.0,0
2026-04-01,00:50:46,303,250297.03,21.47,0.0,1958,21828.39,1.82,0.41,157,501656.06,45.61,0.0,0
2026-04-01,00:50:48,306,247647.06,21.24,0.0,1991,21135.11,1.76,0.44,154,511818.19,46.53,0.0,0
2026-04-01,00:50:50,297,255757.58,21.93,0.0,1966,21658.19,1.8,0.42,149,529664.44,48.15,0.0,0
2026-04-01,00:50:52,305,248524.59,21.31,0.0,1970,21573.61,1.8,0.42,158,498354.41,45.3,0.0,0
2026-04-01,00:50:54,297,255757.58,21.93,0.0,1950,22000.0,1.83,0.41,150,526000.0,47.82,0.0,0
2026-04-01,00:50:56,302,251192.05,21.54,0.0,1989,21176.47,1.76,0.44,163,482453.97,43.86,0.0,0
2026-04-01,00:50:58,304,249407.89,21.39,0.0,1955,21892.58,1.82,0.41,155,508387.09,46.22,0.0,0
2026-04-01,00:51:00,305,248524.59,21.31,0.0,1955,21892.58,1.82,0.41,151,522384.09,47.49,0.0,0
2026-04-01,00:51:02,302,251192.05,21.54,0.0,1973,21510.39,1.79,0.43,154,511818.19,46.53,0.0,0
2026-04-01,00:51:04,304,249407.89,21.39,0.0,1961,21764.41,1.81,0.42,149,529664.44,48.15,0.0,0
2026-04-01,00:51:06,304,249407.89,21.39,0.0,1974,21489.36,1.79,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:51:09,301,252093.03,21.62,0.0,1961,21764.41,1.81,0.42,156,505000.0,45.91,0.0,0
2026-04-01,00:51:11,304,249407.89,21.39,0.0,1968,21615.85,1.8,0.42,155,508387.09,46.22,0.0,0
2026-04-01,00:51:13,304,249407.89,21.39,0.0,1954,21914.02,1.83,0.41,147,537142.81,48.83,0.0,0
2026-04-01,00:51:15,308,245909.09,21.09,0.0,1966,21658.19,1.8,0.42,159,495094.34,45.01,0.0,0
2026-04-01,00:51:17,299,253913.03,21.78,0.0,1967,21637.01,1.8,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:51:19,313,241661.34,20.73,0.0,1985,21259.45,1.77,0.44,159,495094.34,45.01,0.0,0
2026-04-01,00:51:21,292,260479.45,22.34,0.0,1951,21978.47,1.83,0.41,157,501656.06,45.61,0.0,0
2026-04-01,00:51:23,300,253000.0,21.7,0.0,1965,21679.39,1.81,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:51:25,309,245048.53,21.02,0.0,1941,22194.74,1.85,0.4,151,522384.09,47.49,0.0,0
2026-04-01,00:51:27,310,244193.55,20.94,0.0,1982,21321.9,1.78,0.44,159,495094.34,45.01,0.0,0
2026-04-01,00:51:29,304,249407.89,21.39,0.0,1951,21978.47,1.83,0.41,155,508387.09,46.22,0.0,0
2026-04-01,00:51:31,302,251192.05,21.54,0.0,1975,21468.35,1.79,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:51:33,306,247647.06,21.24,0.0,1958,21828.39,1.82,0.41,150,526000.0,47.82,0.0,0
2026-04-01,00:51:35,303,250297.03,21.47,0.0,1979,21384.54,1.78,0.43,154,511818.19,46.53,0.0,0
2026-04-01,00:51:37,300,253000.0,21.7,0.0,1968,21615.85,1.8,0.42,149,529664.44,48.15,0.0,0
2026-04-01,00:51:39,304,249407.89,21.39,0.0,1967,21637.01,1.8,0.42,153,515294.13,46.84,0.0,0
2026-04-01,00:51:41,291,261443.31,22.42,0.0,1964,21700.61,1.81,0.42,150,526000.0,47.82,0.0,0
2026-04-01,00:51:43,304,249407.89,21.39,0.0,1939,22238.27,1.85,0.4,151,522384.09,47.49,0.0,0
2026-04-01,00:51:45,303,250297.03,21.47,0.0,1954,21914.02,1.83,0.41,147,537142.81,48.83,0.0,0
2026-04-01,00:51:47,293,259522.19,22.26,0.0,1955,21892.58,1.82,0.41,149,529664.44,48.15,0.0,0
2026-04-01,00:51:49,304,249407.89,21.39,0.0,1985,21259.45,1.77,0.44,154,511818.19,46.53,0.0,0
2026-04-01,00:51:51,296,256689.19,22.01,0.0,1954,21914.02,1.83,0.41,153,515294.13,46.84,0.0,0
2026-04-01,00:51:53,306,247647.06,21.24,0.0,1965,21679.39,1.81,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:51:55,290,262413.78,22.51,0.0,1963,21721.85,1.81,0.42,152,518815.78,47.17,0.0,0
2026-04-01,00:51:57,306,247647.06,21.24,0.0,1965,21679.39,1.81,0.42,151,522384.09,47.49,0.0,0
2026-04-01,00:51:59,297,255757.58,21.93,0.0,1937,22281.88,1.86,0.4,159,495094.34,45.01,0.0,0
2026-04-01,00:52:01,304,249407.89,21.39,0.0,1963,21721.85,1.81,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:52:03,304,249407.89,21.39,0.0,1947,22064.71,1.84,0.4,148,533378.37,48.49,0.0,0
2026-04-01,00:52:05,296,256689.19,22.01,0.0,1957,21849.77,1.82,0.41,155,508387.09,46.22,0.0,0
2026-04-01,00:52:07,304,249407.89,21.39,0.0,1937,22281.88,1.86,0.4,151,522384.09,47.49,0.0,0
2026-04-01,00:52:09,304,249407.89,21.39,0.0,1975,21468.35,1.79,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:52:11,302,251192.05,21.54,0.0,1949,22021.55,1.84,0.41,154,511818.19,46.53,0.0,0
2026-04-01,00:52:13,304,249407.89,21.39,0.0,1972,21531.44,1.79,0.43,160,491874.97,44.72,0.0,0
2026-04-01,00:52:15,293,259522.19,22.26,0.0,1956,21871.16,1.82,0.41,154,511818.19,46.53,0.0,0
2026-04-01,00:52:17,304,249407.89,21.39,0.0,1958,21828.39,1.82,0.41,157,501656.06,45.61,0.0,0
2026-04-01,00:52:19,307,246775.23,21.16,0.0,1936,22303.72,1.86,0.4,155,508387.09,46.22,0.0,0
2026-04-01,00:52:21,303,250297.03,21.47,0.0,1934,22347.47,1.86,0.39,151,522384.09,47.49,0.0,0
2026-04-01,00:52:23,303,250297.03,21.47,0.0,1974,21489.36,1.79,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:52:25,304,249407.89,21.39,0.0,1945,22107.97,1.84,0.4,150,526000.0,47.82,0.0,0
2026-04-01,00:52:27,311,243344.05,20.87,0.0,1957,21849.77,1.82,0.41,159,495094.34,45.01,0.0,0
2026-04-01,00:52:29,293,259522.19,22.26,0.0,1929,22457.23,1.87,0.39,147,537142.81,48.83,0.0,0
2026-04-01,00:52:31,302,251192.05,21.54,0.0,1963,21721.85,1.81,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:52:33,305,248524.59,21.31,0.0,1937,22281.88,1.86,0.4,153,515294.13,46.84,0.0,0
2026-04-01,00:52:35,304,249407.89,21.39,0.0,1953,21935.48,1.83,0.41,159,495094.34,45.01,0.0,0
2026-04-01,00:52:37,304,249407.89,21.39,0.0,1946,22086.33,1.84,0.4,154,511818.19,46.53,0.0,0
2026-04-01,00:52:39,301,252093.03,21.62,0.0,1955,21892.58,1.82,0.41,160,491874.97,44.72,0.0,0
2026-04-01,00:52:41,294,258571.42,22.18,0.0,1942,22173.02,1.85,0.4,155,508387.09,46.22,0.0,0
2026-04-01,00:52:43,301,252093.03,21.62,0.0,1974,21489.36,1.79,0.43,154,511818.19,46.53,0.0,0
2026-04-01,00:52:45,303,250297.03,21.47,0.0,1931,22413.26,1.87,0.39,149,529664.44,48.15,0.0,0
